Title,Year,Console,Generation,Sub-Genre,Fan translation?,Min-7 Average,Pure Average,Popularity,Percentage of 4s or 5s,"Percentage of 1s, 2s, or 3s",Percentage of 5s,1,2,3,4,5,Popularity Gradient Average,Min-10 Average,Min-12 Average,TwoEdge .5 votes
Sengoku Rance,2006,PC,Seventh,JRPG/SRPG,No,4.642857143,4.642857143,14,100.00%,0.00%,64.29%,0,0,0,5,9,4.261904762,4.642857143,4.642857143,
Terranigma,1995,SNES,Fourth,ARPG,No,4.352941176,4.352941176,17,82.35%,17.65%,52.94%,0,0,3,5,9,4.104166667,4.352941176,4.352941176,
Shin Megami Tensei III: Nocturne,2003,Playstation 2,Sixth,JRPG,No,4.333333333,4.333333333,36,80.56%,19.44%,55.56%,0,1,6,9,20,4.197674419,4.333333333,4.333333333,
Shining Force III,1997,Sega Saturn,Fifth,SRPG,No,4.3125,4.3125,8,62.50%,37.50%,50.00%,0,0,2,1,4,3.933333333,0,0,4.5
Panzer Dragoon Saga,1998,Sega Saturn,Fifth,JRPG,No,4.222222222,4.222222222,9,88.89%,11.11%,33.33%,0,0,1,5,3,3.90625,0,4.222222222,
Phantasy Star 4,1993,Genesis / Mega Drive,Fourth,JRPG,No,4.2,4.2,20,80.00%,20.00%,45.00%,0,1,3,7,9,4.018518519,4.2,4.2,
Shin Megami Tensei: Strange Journey,2009,Nintendo DS,Seventh,Blobber,No,4.166666667,4.166666667,24,87.50%,12.50%,37.50%,0,2,1,12,9,4.016129032,4.166666667,4.166666667,
Shadow Hearts: Covenant,2004,Playstation 2,Sixth,JRPG,No,4.166666667,4.166666667,12,75.00%,25.00%,41.67%,0,0,3,4,5,3.921052632,4.166666667,4.166666667,
Dragon Quest III,1988,NES,Third,JRPG,No,4.147058824,4.147058824,17,64.71%,35.29%,47.06%,0,0,5,3,8,3.958333333,4.147058824,4.147058824,3.5
Yakuza: Like a Dragon,2020,PC,Eighth,JRPG,No,4.142857143,4.142857143,14,78.57%,21.43%,64.29%,2,0,1,2,9,3.928571429,4.142857143,4.142857143,
Suikoden 2,1998,Playstation,Fifth,JRPG,No,4.12,4.12,25,76.00%,24.00%,36.00%,0,0,6,10,9,3.984375,4.12,4.12,
Xenogears,1998,Playstation,Fifth,JRPG,No,4.117647059,4.117647059,17,76.47%,23.53%,47.06%,0,2,2,5,8,3.9375,4.117647059,4.117647059,
Lufia II,1995,SNES,Fourth,JRPG,No,4.105263158,4.105263158,19,73.68%,26.32%,42.11%,0,1,4,6,8,3.942307692,4.105263158,4.105263158,
Skies of Arcadia,2000,Dreamcast,Sixth,JRPG,No,4.1,4.1,10,80.00%,20.00%,30.00%,0,0,2,5,3,3.852941176,4.1,4.1,
Dark Spire,2008,Nintendo DS,Seventh,Blobber,No,4.1,4.1,10,80.00%,20.00%,30.00%,0,0,2,5,3,3.852941176,4.1,4.1,
Ys: The Oath in Felghana (III),2005,Playstation Portable,Seventh,ARPG,No,4.090909091,4.090909091,11,81.82%,18.18%,36.36%,0,1,1,5,4,3.861111111,4.090909091,4.090909091,
Valkyrie Profile,1999,Playstation,Fifth,JRPG,No,4,4,14,64.29%,35.71%,50.00%,1,0,4,2,7,3.833333333,4,4,
Fire Emblem 4: Genealogy of the Holy War,1996,SNES,Fourth,SRPG,Yes,4,4,12,66.67%,33.33%,50.00%,0,2,2,2,6,3.815789474,4,4,
Valkyria Chronicles III,2011,Playstation Portable,Seventh,SRPG,Yes,4,4,10,70.00%,30.00%,40.00%,0,1,2,3,4,3.794117647,4,4,
Fire Emblem 5: Thracia 776,1999,SNES,Fourth,SRPG,Yes,4,4,10,70.00%,30.00%,40.00%,0,1,2,3,4,3.794117647,4,4,
Lost Odyssey,2007,Xbox 360,Seventh,JRPG,No,4,4,9,66.67%,33.33%,33.33%,0,0,3,3,3,3.78125,0,4,
Romance of the Three Kingdoms X,2004,Playstation 2,Sixth,SRPG,No,4,4,8,87.50%,12.50%,37.50%,1,0,0,4,3,3.766666667,0,0,
Monster Hunter 4,2013,Nintendo 3DS,Eighth,ARPG,No,4,4,8,75.00%,25.00%,37.50%,0,1,1,3,3,3.766666667,0,0,
Unlimited Saga,2002,Playstation 2,Sixth,JRPG,No,4,4,7,57.14%,42.86%,42.86%,0,0,3,1,3,3.75,0,0,
Romancing SaGa 3,1995,SNES,Fourth,JRPG,No,4,4,7,57.14%,42.86%,42.86%,0,0,3,1,3,3.75,0,0,
Saga: Scarlet Grace,2016,PC,Eighth,JRPG,No,4,4,7,85.71%,14.29%,28.57%,0,1,0,4,2,3.75,0,0,
Trials of Mana (2020),2020,PC,Eighth,ARPG,No,4,4,7,85.71%,14.29%,14.29%,0,0,1,5,1,3.75,0,0,
Final Fantasy Tactics,1997,Playstation,Fifth,SRPG,No,3.967741935,3.967741935,31,67.74%,32.26%,35.48%,0,2,8,10,11,3.881578947,3.967741935,3.967741935,
Dragon Quest V,1992,SNES,Fourth,JRPG,Original only,3.954545455,3.954545455,22,81.82%,18.18%,27.27%,1,1,2,12,6,3.844827586,3.954545455,3.954545455,
Shin Megami Tensei: Digital Devil Saga,2004,Playstation 2,Sixth,JRPG,No,3.944444444,3.944444444,18,61.11%,38.89%,38.89%,0,1,6,4,7,3.82,3.944444444,3.944444444,
Pokemon 2 Soul Silver / Heart Gold,2009,Nintendo DS,Seventh,JRPG,No,3.944444444,3.944444444,18,66.67%,33.33%,33.33%,0,1,5,6,6,3.82,3.944444444,3.944444444,
Persona 4,2008,Playstation 2,Sixth,JRPG,No,3.9375,3.9375,32,68.75%,31.25%,31.25%,0,2,8,12,10,3.858974359,3.9375,3.9375,
Radiant Historia,2010,Nintendo DS,Seventh,JRPG,No,3.9375,3.9375,16,68.75%,31.25%,37.50%,0,2,3,5,6,3.804347826,3.9375,3.9375,
